h_value,h_freq,s_value,s_freq,v_value,v_freq
0.153889537,62.09870212,0.098431823,6.554573082,10.58078427,3.720381746
0.248822136,57.85439867,0.564145142,20.11353745,11.62747049,4.918799114
0.237938144,54.03411741,1.16359434,21.70247858,12.67415671,9.639096095
0.227054151,50.21383616,1.554412747,48.07890144,13.76049014,16.45458534
0.216170159,46.3935549,1.296297956,35.24820177,14.72788195,26.90201294
0.205286167,42.57327365,2.206854072,50.38286609,15.81421538,33.36286848
0.194402175,38.75299239,2.858942822,53.16351308,16.81332495,39.12505485
0.183518183,34.93271114,3.284266636,57.00875063,17.62212794,65.74459492
0.172634191,31.11242988,3.556925174,74.29643019,17.19393812,49.99396665
0.161750198,27.29214862,4.156180456,76.14754662,18.66881416,62.10042782
0.150866206,23.47186737,4.553656667,93.52261794,19.58862933,115.6378894
0.139982214,19.65158611,5.089168781,93.11403308,19.19215727,95.19142168
0.129098222,15.83130486,5.477016253,75.88537133,19.19215727,83.35399298
0.436268668,10.95119486,6.083210834,75.77613163,19.19215727,71.51656428
0.425384676,7.130913607,6.518678545,90.02694744,20.23884349,112.9475647
0.28492071,2.906836242,7.170179669,93.602065,20.23884349,101.110136
1.82579167,10.32037682,7.820623065,98.60722958,20.60115796,82.15369427
1.271463901,3.579557659,8.472124189,102.1823471,21.61856624,136.8180821
2.805955632,53.83276356,9.102764583,104.724653,21.84059059,121.0185388
2.934144873,48.73965988,9.512104966,143.3359226,21.84059059,109.1811101
2.354874623,45.76591135,9.253990176,130.5052229,21.96111809,93.90006582
2.343990631,41.9456301,9.261100452,120.892129,21.23795307,85.50625274
2.333106639,38.12534884,10.04641664,144.5503276,22.82384128,133.2146775
2.322222646,34.30506759,10.45389341,156.4446869,22.76040575,88.00091747
2.311338654,30.48478633,11.05295478,158.5579787,23.61678539,166.9497188
2.300454662,26.66450508,11.44997852,176.5447923,23.18859557,151.1501755
2.28957067,22.84422382,12.04903988,178.658084,23.18859557,115.6378894
2.278686678,19.02394256,12.42473279,225.4841793,23.18859557,103.8004607
2.267802685,15.20366131,12.166618,212.6534796,23.23617222,139.3127468
3.964617067,47.30082635,12.17372828,203.0403858,23.23617222,127.4753181
4.823726849,85.88884153,12.18083855,193.4272919,24.66347161,186.9559516
4.704002935,81.43139323,13.07693907,228.1059322,24.53660055,171.9553532
4.693118943,77.61111198,13.72861648,231.4427086,25.18681472,159.7592146
4.682234951,73.79083072,14.3801176,235.0178261,25.54912918,140.3474871
4.671350959,69.97054947,15.03250016,237.4012378,25.86874665,180.9231022
4.660466967,66.15026821,15.68458891,240.1818848,25.71015783,166.7540588
4.649582974,62.32998695,16.09978597,241.6384142,26.66169076,224.6204974
4.797423868,57.87367241,16.38127849,263.0626372,26.5348197,209.2611891
4.306737221,54.68806394,16.1231637,250.2319375,26.5348197,197.4237604
4.295853229,50.86778269,16.94537022,264.2146195,26.4142922,146.415204
5.571094312,85.25530249,17.3825347,276.1714016,26.88371511,185.5863317
5.56021032,81.43502123,17.9819839,277.7603427,26.88371511,173.748903
5.549326328,77.61473997,18.37991258,294.5236717,26.88371511,161.9114743
5.538442336,73.79445872,18.9450547,294.2555379,27.18503387,138.2366169
5.527558344,69.97417746,19.13274984,281.692972,27.54734833,121.3082661
5.516674352,66.15389621,19.13986011,272.0798781,27.23261052,221.0986178
6.1447714,61.22208725,19.15004074,258.3156755,27.23261052,209.2611891
5.846519781,56.71082366,19.54159074,251.5428139,27.23261052,197.4237604
7.184041487,62.8713144,20.19467845,252.972861,27.8669658,150.4327556
7.784928555,73.43256598,20.8480306,254.0453962,28.65990991,183.7275619
7.343371039,68.70845987,21.50393892,251.6619845,28.53303885,168.3682536
8.964481208,111.7990919,22.1567622,253.4495433,28.41251135,128.9819
8.952387883,107.554335,22.80999682,254.6809727,28.88193426,156.5308249
8.941503891,103.7340537,23.14682414,241.4927613,28.88193426,144.6933962
8.930619899,99.91377246,23.15393441,231.8796674,29.18325302,115.9069219
8.919735907,96.0934912,23.16104469,222.2665735,29.23082967,180.2056823
8.908851915,92.27320994,23.17122531,208.5023709,29.23082967,168.3682536
8.897967923,88.45292869,23.16944774,251.1058551,29.86518495,133.9320974
9.027668829,83.89041963,23.56277531,201.7295093,29.86762478,109.1397205
8.448096246,80.81055218,24.06922092,200.4186329,30.75328235,143.9107563
8.470166563,76.03535178,24.46484023,188.1440626,30.88015341,128.551448
10.06037829,83.23686614,25.03080502,186.76367,31.18147217,116.7140193
10.84620252,96.10165419,25.21850016,174.2011041,31.18147217,100.1685224
10.72647861,91.6442059,25.22561044,164.5880103,31.86584393,94.69474635
10.71559462,87.82392464,25.46221359,150.8406138,32.65634821,142.8346264
11.87746078,82.41684802,26.1582613,149.8505812,32.52947715,127.4753181
12.19001276,94.45191308,26.81281808,149.2944518,32.52947715,115.6378894
12.07609364,89.52757175,27.20226731,145.3618225,33.17969132,103.8004607
11.571802,87.82755264,27.20937759,135.7487286,33.60788114,88.00091747
12.91765946,120.1688171,27.21648787,126.1356348,33.22726797,139.3127468
12.39898541,115.2094095,27.45458269,110.3715053,33.70303443,122.0946687
12.38810142,111.3891282,28.0958998,111.0168599,33.70303443,110.25724
12.37721742,107.568847,28.49201859,130.2271582,34.4071688,91.53258008
12.36633343,103.7485657,29.05716071,129.9590244,34.74972065,120.2358989
12.35544944,99.92828445,29.51307781,116.5622644,34.96381556,103.2623958
14.05555493,122.4475882,30.07910136,115.1024247,35.79640687,98.07740636
15.11937879,118.4044658,30.49728382,97.06106763,36.22459669,77.7043111
14.96307257,113.6285096,31.19568655,92.88704149,36.84309309,71.46764929
14.95218857,109.8082283,31.60134693,87.13706075,37.69947273,98.71330129
14.94130458,105.9879471,32.09270628,86.12269208,37.57260167,83.35399298
14.93042059,102.1676658,32.51525986,77.63320658,38.623819,64.59858647
14.9213506,98.98409812,33.17011045,76.6798419,38.87303001,95.19142168
15.85102493,124.7746246,33.82548991,75.0114537,38.87303001,83.35399298
16.79747875,118.8891058,34.48439512,68.5762421,39.60253859,110.9909649
17.34621335,123.6667249,35.14118488,65.00112455,39.69769188,67.07752852
17.16594723,116.7417849,35.79956123,59.28093645,40.22103499,107.0288504
18.10159264,163.4109828,36.45229637,61.18766582,40.22103499,95.19142168
18.08949932,159.1662259,37.10532532,62.6971599,40.22103499,83.35399298
18.07861533,155.3459446,37.75682644,66.27227745,40.7443781,68.69172334
18.06773134,151.5256634,38.23373208,64.69922573,40.8791786,59.0962319
18.05684734,147.7053821,38.60059884,51.0978896,41.69591103,104.0939507
18.04596335,143.8851009,39.25803499,46.64885442,41.56903997,88.73464239
18.03507936,140.0648196,39.61002306,41.67773858,42.00515923,75.28301887
18.02419537,136.2445384,40.21357389,41.1670075,42.74259725,98.41981132
18.01376487,132.5834355,40.86854201,40.05474871,42.74259725,86.58238262
17.57432369,128.6021618,41.28675555,37.43299583,42.83775054,71.71222426
19.28181475,132.2477162,41.59279125,25.67483142,43.78928347,101.305796
19.95716214,138.5342582,42.24752432,24.88036085,43.31351701,85.50625274
21.11827248,170.4275298,42.9020811,24.32423146,44.6456631,112.7029897
21.10617915,166.1827729,43.55728427,22.89418443,45.16900622,97.34368144
21.09529516,162.3624916,44.21284001,20.98745507,45.53132068,78.75974618
21.08441117,158.5422103,44.86904214,18.20680808,45.21658286,109.1811101
21.07352718,154.7219291,45.5258319,14.63169053,46.5780069,93.61861646
21.06264318,150.9016478,46.18144641,12.6455141,47.59541518,55.37461606
20.6236555,147.0795526,46.83794235,9.467631832,47.7143568,92.77012944
20.61277151,143.2592713,47.4934981,7.560902469,47.56369742,78.69076349
20.70982044,139.7578003,48.1472322,8.117031866,47.56369742,66.8533348
22.33010999,150.3612706,48.79714673,13.83721996,48.6421014,114.8063345
23.08330816,157.1408316,49.45593442,7.560902469,48.22977047,58.6030057
24.13858031,178.7175038,49.57685319,4.879564301,48.98465326,95.29903466
24.12648698,174.4727469,50.23083704,5.098043707,48.26148823,87.65851251
24.11560299,170.6524656,50.88498248,5.098043707,48.26148823,75.82108381
24.104719,166.8321844,51.53859906,5.813067219,49.68878762,111.3333699
24.09428851,163.1710815,52.13337467,5.680655457,49.78394092,86.09323268
24.11953332,159.5101298,54.63215698,4.144679026,50.64032055,126.6926782
25.44919437,162.9115285,55.28656685,3.78716727,50.5134495,99.4959412
26.10193156,191.6721755,55.94135868,2.913249645,50.8623449,111.3333699
26.14047904,186.4195156,56.32789917,2.913249645,51.16366366,87.65851251
25.65024589,183.3930855,,,51.52597812,70.31626557
25.6393619,179.5728042,,,51.68700677,122.0946687
25.6284779,175.752523,,,51.8455956,102.0069109
25.61759391,171.9322417,,,52.21034988,85.50625274
25.60670992,168.1119605,,,52.21034988,73.66882405
26.84929903,191.0386365,,,52.733693,124.9806534
26.83388004,185.6265714,,,52.89228182,105.9527205
27.36084666,182.7636279,,,52.25792653,97.34368144
27.56220051,178.3075401,,,54.02777778,123.1707986
27.55131652,174.4872589,,,53.75659089,105.1456231
27.54043253,170.6669776,,,53.82795586,97.02084247
27.95478007,165.8403806,,,54.82706544,133.5896924
29.34343386,164.9044706,,,55.5724329,111.9162736
30.23180193,213.7621447,,,56.56910264,99.20621393
30.21970861,209.5173877,,,57.68166422,132.7581375
30.20882461,205.6971065,,,57.55479317,117.7901492
30.19794062,201.8768252,,,57.55479317,101.8275559
30.18705663,198.056544,,,58.25258398,129.6275779
30.17617264,194.2362627,,,58.25258398,117.7901492
30.16528864,190.4159814,,,58.72835044,101.110136
30.15440465,186.5957002,,,58.78544242,93.84625932
30.14352066,182.7754189,,,59.77503666,109.4256851
30.13263667,178.9551377,,,60.37767419,87.47915753
30.12175268,175.1348564,,,60.91687618,84.67469783
30.11086868,171.3145752,,,61.58294923,107.7136603
30.52808838,167.4961079,,,62.20144563,103.8004607
30.51720439,163.6758267,,,62.20144563,91.96303203
30.5063204,159.8555454,,,62.62963545,77.23961865
30.49543641,156.0352641,,,63.71596888,111.8265961
30.48455242,152.2149829,,,63.24813185,97.34368144
30.47366842,148.3947016,,,63.24813185,81.47076569
30.46278443,144.5744204,,,64.6365049,102.8710758
30.45190044,140.7541391,,,65.54766976,94.11529179
30.44101645,136.9338579,,,65.54766976,82.2778631
30.43013245,133.1135766,,,65.54766976,70.4404344
30.41924846,129.2932954,,,65.42714226,56.55835893
30.72762824,124.8376611,,,65.7802667,50.89074155
30.82331667,120.8586549,,,66.72122704,91.62062707
32.03927887,123.7062441,,,66.72122704,75.82108381
32.53255694,119.7516622,,,66.87981586,60.75526547
32.65862985,113.9157261,,,67.2921468,87.65851251
33.36518235,111.4780141,,,67.89478432,70.79914436
33.35429835,107.6577329,,,67.74412494,57.79590829
33.34341436,103.8374516,,,67.72033662,51.60816147
33.33253037,100.0171704,,,68.81459948,72.2502892
33.32164638,96.19688913,,,69.2427893,51.60816147
33.31076239,92.37660787,,,69.8612857,44.56440225
33.29987839,88.55632661,,,70.86039528,48.48738482
33.2889944,84.73604536,,,71.60332291,25.20158977
33.27811041,80.9157641,,,72.71588449,27.10174917
33.26722642,77.09548285,,,73.63569965,11.4326459
33.25634242,73.27520159,,,74.71410364,12.3049633
33.24545843,69.45492034,,,75.76078986,6.655281423
33.23457444,65.63463908,,,76.93434714,4.796511628
33.21915545,60.22257397,,,77.8541623,4.747596633
33.96053672,57.48788023,,,78.85327188,3.720381746
34.58842213,52.48178803,,,,
34.57477935,47.69317159,,,,
35.87176575,52.14764947,,,,
35.9310835,47.92441864,,,,
36.16962433,43.99907662,,,,
36.47921344,39.96791802,,,,
36.46832945,36.14763676,,,,
36.56447138,32.32780901,,,,
37.87115511,40.18605136,,,,
37.80267666,34.93293789,,,,
38.84648174,31.91300797,,,,
38.69017552,27.13705174,,,,
38.67929153,23.31677048,,,,
38.66840754,19.49648922,,,,
38.65752354,15.67620797,,,,
38.53757288,11.13917048,,,,
39.62166385,53.56429175,,,,
39.50193994,49.10684345,,,,
39.49105595,45.2865622,,,,
39.48017195,41.46628094,,,,
39.46928796,37.64599969,,,,
40.20758543,33.82889293,,,,
40.19670144,30.00861167,,,,
40.18581745,26.18833042,,,,
40.17493345,22.36804916,,,,
40.48512723,18.5491284,,,,
40.47424324,14.72884715,,,,
40.46335925,10.90856589,,,,
40.44794026,5.496500781,,,,
40.36903131,52.93075271,,,,
40.35814732,49.11047145,,,,
40.34726333,45.2901902,,,,
40.33637934,41.46990894,,,,
40.32549535,37.64962768,,,,
40.81663549,3.428769017,,,,
41.77088951,19.06394124,,,,
41.9261678,13.46158766,,,,
41.85469625,10.91446139,,,,
41.30868264,7.091912635,,,,
42.92314148,10.28228284,,,,
43.62982354,6.101210204,,,,
44.65490557,17.08114996,,,,
44.64281224,12.83639301,,,,
44.68317372,8.220446575,,,,
45.43583201,3.183047777,,,,
46.68731835,5.977728721,,,,
47.63530543,11.36342607,,,,
48.37118423,6.697367919,,,,
48.36090491,3.089324511,,,,
49.68495119,6.308783484,,,,
50.8321758,6.495560564,,,,
51.46223801,2.253524611,,,,
52.74518859,1.78143145,,,,
53.81529666,1.732906985,,,,
59.67300078,29.24219722,,,,
59.66090746,24.99744027,,,,
59.65002346,21.17715902,,,,
59.63913947,17.35687776,,,,
59.62825548,13.53659651,,,,
59.61737149,9.71631525,,,,
59.6019525,4.304250138,,,,
66.44435558,1.786419947,,,,
67.83569258,1.792315442,,,,
68.79892589,1.796396939,,,,
179.4637304,2.265315603,,,,
180.2129119,2.2684901,,,,
207.7185741,2.385039517,,,,
212.6426736,2.724257273,,,,
214.0333303,2.49138519,,,,
215.2128074,3.265735884,,,,
216.5745157,3.605018426,,,,
217.7139661,6.429543968,,,,
219.0637107,7.936069886,,,,
220.1538375,9.547613371,,,,
220.5766504,7.692346204,,,,
221.8620196,8.069204433,,,,
222.8346252,11.36297257,,,,
223.9923451,9.867071499,,,,
224.9782275,12.45445558,,,,
225.8229613,8.430870424,,,,
227.0050082,10.10723197,,,,
227.6618572,7.75420356,,,,
228.9245212,7.674659717,,,,
230.2085299,7.573982789,,,,
231.1702516,7.047469667,,,,
231.6944972,3.22945591,,,,
232.9830409,4.720562839,,,,
234.273701,6.954502234,,,,
235.5555934,6.11099284,,,,
236.2252613,3.248654063,,,,
239.7420001,48.04520072,,,,
239.6222762,43.58775242,,,,
239.6113922,39.76747116,,,,
239.6005082,35.94718991,,,,
239.5896242,32.12690865,,,,
239.5787402,28.3066274,,,,
239.5678562,24.48634614,,,,
239.5569722,20.66606488,,,,
239.5460882,16.84578363,,,,
239.5352042,13.02550237,,,,
239.5243202,9.205221117,,,,
239.5098083,4.111512776,,,,
240.4893676,47.41166167,,,,
240.4784836,43.59138042,,,,
240.4675996,39.77109916,,,,
240.4567156,35.9508179,,,,
240.4458316,32.13053665,,,,
240.4349476,28.31025539,,,,
240.4240636,24.48997414,,,,
240.4131796,20.66969288,,,,
240.4022956,16.84941163,,,,
240.3914116,13.02913037,,,,
240.3805276,9.208849115,,,,
240.3660156,4.115140774,,,,
243.6814006,3.280247874,,,,
244.5636086,12.41010331,,,,
244.6023829,7.237032531,,,,
246.0815627,11.77982947,,,,
245.7521665,5.638770108,,,,
246.9236209,14.33022094,,,,
247.5561018,10.93713637,,,,
248.5713796,7.742749454,,,,
249.7935483,7.402287812,,,,
250.5310597,3.309271853,,,,
251.6164356,8.619753038,,,,
251.9248153,4.164118739,,,,
252.363803,7.986213993,,,,
252.8835137,2.576416379,,,,
254.5687184,5.554851073,,,,
255.9331046,5.04520382,,,,
257.1763416,6.733194393,,,,
258.47716,5.019600524,,,,
258.5564922,2.812689709,,,,
259.5635639,18.20401515,,,,
259.4438399,13.74656685,,,,
259.4329559,9.926285599,,,,
259.9753416,4.962278165,,,,
260.3109313,17.57047611,,,,
260.3000473,13.75019485,,,,
260.2891633,9.929913597,,,,
261.7718805,4.444608287,,,,
262.9581601,7.606634766,,,,
264.0278146,7.398931915,,,,
264.8048108,4.643165561,,,,
265.5370616,11.22556217,,,,
266.5931111,6.242507746,,,,
266.284429,10.59202312,,,,
267.6081298,2.957161748,,,,
269.6838626,39.25819103,,,,
269.5641387,34.80074273,,,,
269.5532547,30.98046147,,,,
269.5423707,27.16018022,,,,
269.5314867,23.33989896,,,,
269.5206027,19.51961771,,,,
269.5097187,15.69933645,,,,
269.4988347,11.8790552,,,,
269.4879507,8.058773941,,,,
269.4770667,4.238492685,,,,
270.43123,38.62465198,,,,
270.4203461,34.80437073,,,,
270.4094621,30.98408947,,,,
270.3985781,27.16380822,,,,
270.3876941,23.34352696,,,,
270.3768101,19.52324571,,,,
270.3659261,15.70296445,,,,
270.3550421,11.88268319,,,,
270.3441581,8.062401938,,,,
270.3332741,4.242120683,,,,
272.4760601,5.047082604,,,,
273.7653597,6.803486843,,,,
274.5038083,3.039439547,,,,
275.6106498,6.492952941,,,,
276.3294468,5.222586978,,,,
277.500383,2.999078076,,,,
279.0230535,4.024259439,,,,
279.6929027,21.26060296,,,,
279.6808094,17.01584601,,,,
279.6699254,13.19556475,,,,
279.6590414,9.375283495,,,,
280.2645542,4.029520035,,,,
281.8909401,3.893152683,,,,
282.9699518,6.969830523,,,,
283.7629867,3.582732156,,,,
284.7956811,9.184813632,,,,
284.9587898,3.826563814,,,,
287.8014769,12.38107934,,,,
287.7893836,8.136322385,,,,
287.7784996,4.316041129,,,,
289.0587292,2.888877655,,,,
290.1303489,3.370947808,,,,
290.7945748,11.12035024,,,,
290.9221593,5.815008719,,,,
292.111689,3.856872709,,,,
293.3450569,4.764098808,,,,
293.7678698,2.90883164,,,,
294.9456084,3.072998522,,,,
299.8899642,48.08782969,,,,
299.8778709,43.84307273,,,,
299.8669869,40.02279148,,,,
299.8561029,36.20251022,,,,
299.8452189,32.38222897,,,,
299.8343349,28.56194771,,,,
299.8234509,24.74166646,,,,
299.8125669,20.9213852,,,,
299.8016829,17.10110395,,,,
299.790799,13.28082269,,,,
299.779915,9.460541434,,,,
299.765403,4.366833093,,,,
305.7558313,3.331039837,,,,
306.6247367,7.791662633,,,,
307.6581113,10.94925129,,,,
308.9871677,10.56073164,,,,
310.0598456,11.41421803,,,,
310.5777422,5.367706874,,,,
310.9457572,3.061207531,,,,
311.7716557,11.20923618,,,,
312.1132921,5.904801655,,,,
313.2497623,4.105617281,,,,
314.4270474,4.110605777,,,,
314.7810795,15.67892897,,,,
314.7689862,11.43417202,,,,
314.8636769,7.104973426,,,,
316.0363666,5.496954281,,,,
317.3203754,5.396277353,,,,
318.6763394,3.719300344,,,,
319.7447846,29.91972574,,,,
319.6250607,25.46227744,,,,
319.6141767,21.64199618,,,,
319.6032927,17.82171493,,,,
319.5924087,14.00143367,,,,
319.5815247,10.18115242,,,,
319.9946629,4.930079688,,,,
320.4921521,29.28618669,,,,
320.4812681,25.46590544,,,,
320.4703841,21.64562418,,,,
320.4595001,17.82534292,,,,
320.4486161,14.00506167,,,,
320.4377321,10.18478041,,,,
321.5982378,4.300168641,,,,
322.7019048,16.03084471,,,,
322.2608008,11.46591699,,,,
322.2828711,6.69071659,,,,
323.8759853,14.91097262,,,,
324.6652561,10.20269365,,,,
324.5985916,5.586293717,,,,
325.7005958,16.73331571,,,,
325.3663666,12.11578203,,,,
325.3514011,6.8628953,,,,
326.8761577,16.13342634,,,,
327.5003093,9.816765428,,,,
328.5553763,4.488824505,,,,
328.994364,8.31091976,,,,
329.8318267,39.30082,,,,
329.8197334,35.05606305,,,,
329.8088494,31.23578179,,,,
329.7979654,27.41550054,,,,
329.7870814,23.59521928,,,,
329.7761974,19.77493802,,,,
329.7653134,15.95465677,,,,
329.7544294,12.13437551,,,,
329.911038,4.494568835,,,,
330.1716491,8.315908256,,,,
331.6600351,4.820332767,,,,
332.7629463,16.28571153,,,,
332.3212376,11.50854596,,,,
332.3436102,6.839464483,,,,
333.9415012,16.73639951,,,,
334.7320419,12.47382002,,,,
334.5557439,6.941690868,,,,
335.7781144,22.77166387,,,,
335.7660211,18.52690692,,,,
336.1082622,13.43471025,,,,
335.4231754,10.88498391,,,,
335.4131984,7.383059426,,,,
337.0340062,12.80192703,,,,
337.6906737,17.89835637,,,,
338.7468745,12.96836141,,,,
338.9423328,18.96483644,,,,
338.9514028,9.626522315,,,,
339.6679323,35.73449856,,,,
339.5482084,31.27705026,,,,
339.5373244,27.45676901,,,,
339.5264404,23.63648775,,,,
340.5840017,19.18402795,,,,
340.5731177,15.36374669,,,,
340.6701666,11.86227571,,,,
340.4152998,35.10095951,,,,
340.4044158,31.28067826,,,,
340.3935318,27.460397,,,,
340.3826478,23.64011575,,,,
341.9741293,18.76544775,,,,
341.422069,12.82052052,,,,
343.2587427,18.87700867,,,,
344.5421468,18.56409389,,,,
345.6300925,15.38517455,,,,
346.7804916,26.07761171,,,,
346.2618176,21.11820406,,,,
346.3543315,16.02494922,,,,
347.9799767,27.31568022,,,,
349.2685204,24.63282653,,,,
350.5495058,23.47096037,,,,
351.6584637,18.27589485,,,,
351.5925551,13.92479223,,,,
352.0448454,22.41612013,,,,
352.7142109,31.96954426,,,,
352.594487,27.51209597,,,,
352.3441552,14.77691811,,,,
354.0594724,30.82917398,,,,
353.8758957,26.49879629,,,,
354.6878415,48.53225937,,,,
354.726389,43.27959939,,,,
354.2361558,40.25316931,,,,
354.2252719,36.43288806,,,,
355.435209,47.89872032,,,,
355.41979,42.48665521,,,,
356.0541453,39.75150797,,,,
356.3621623,35.16853097,,,,
356.4882352,29.33259483,,,,
357.1947877,26.89488291,,,,
357.1839037,23.07460165,,,,
357.1730197,19.2543204,,,,
357.1621357,15.43403914,,,,
357.1512518,11.61375789,,,,
357.3634896,5.611430556,,,,
358.5214254,4.191328719,,,,
359.8045272,154.0348771,,,,
359.6854079,149.7896666,,,,
359.6745239,145.9693854,,,,
359.6636399,142.1491041,,,,
359.652756,138.3288229,,,,
359.641872,134.5085416,,,,
359.630988,130.6882603,,,,
359.620104,126.8679791,,,,
359.60922,123.0476978,,,,
359.598336,119.2274166,,,,
359.587452,115.4071353,,,,
359.576568,111.5868541,,,,
359.565684,107.7665728,,,,
359.5548,103.9462916,,,,
359.543916,100.1260103,,,,
359.533032,96.30572905,,,,
359.522148,92.48544779,,,,
359.5112641,88.66516654,,,,
359.5003801,84.84488528,,,,
359.4894961,81.02460402,,,,
359.4786121,77.20432277,,,,
359.4677281,73.38404151,,,,
359.4568441,69.56376026,,,,
359.4459601,65.743479,,,,
359.4350761,61.92319775,,,,
359.4241921,58.10291649,,,,
359.4133081,54.28263524,,,,
359.4024241,50.46235398,,,,
359.3915401,46.64207272,,,,
359.3806561,42.82179147,,,,
359.3697722,39.00151021,,,,
359.3588882,35.18122896,,,,
359.3480042,31.3609477,,,,
359.3371202,27.54066645,,,,
359.3262362,23.72038519,,,,
359.3153522,19.90010393,,,,
359.3044682,16.07982268,,,,
359.2935842,12.25954142,,,,
359.2827002,8.439260167,,,,
359.3788422,4.619432412,,,,